date,value,series_id,series_name
1980-08-01,11.1,GS10,10-Year Treasury Constant Maturity Rate
1980-09-01,11.51,GS10,10-Year Treasury Constant Maturity Rate
1980-10-01,11.75,GS10,10-Year Treasury Constant Maturity Rate
1980-11-01,12.68,GS10,10-Year Treasury Constant Maturity Rate
1980-12-01,12.84,GS10,10-Year Treasury Constant Maturity Rate
1981-01-01,12.57,GS10,10-Year Treasury Constant Maturity Rate
1981-02-01,13.19,GS10,10-Year Treasury Constant Maturity Rate
1981-03-01,13.12,GS10,10-Year Treasury Constant Maturity Rate
1981-04-01,13.68,GS10,10-Year Treasury Constant Maturity Rate
1981-05-01,14.1,GS10,10-Year Treasury Constant Maturity Rate
1981-06-01,13.47,GS10,10-Year Treasury Constant Maturity Rate
1981-07-01,14.28,GS10,10-Year Treasury Constant Maturity Rate
1981-08-01,14.94,GS10,10-Year Treasury Constant Maturity Rate
1981-09-01,15.32,GS10,10-Year Treasury Constant Maturity Rate
1981-10-01,15.15,GS10,10-Year Treasury Constant Maturity Rate
1981-11-01,13.39,GS10,10-Year Treasury Constant Maturity Rate
1981-12-01,13.72,GS10,10-Year Treasury Constant Maturity Rate
1982-01-01,14.59,GS10,10-Year Treasury Constant Maturity Rate
1982-02-01,14.43,GS10,10-Year Treasury Constant Maturity Rate
1982-03-01,13.86,GS10,10-Year Treasury Constant Maturity Rate
1982-04-01,13.87,GS10,10-Year Treasury Constant Maturity Rate
1982-05-01,13.62,GS10,10-Year Treasury Constant Maturity Rate
1982-06-01,14.3,GS10,10-Year Treasury Constant Maturity Rate
1982-07-01,13.95,GS10,10-Year Treasury Constant Maturity Rate
1982-08-01,13.06,GS10,10-Year Treasury Constant Maturity Rate
1982-09-01,12.34,GS10,10-Year Treasury Constant Maturity Rate
1982-10-01,10.91,GS10,10-Year Treasury Constant Maturity Rate
1982-11-01,10.55,GS10,10-Year Treasury Constant Maturity Rate
1982-12-01,10.54,GS10,10-Year Treasury Constant Maturity Rate
1983-01-01,10.46,GS10,10-Year Treasury Constant Maturity Rate
1983-02-01,10.72,GS10,10-Year Treasury Constant Maturity Rate
1983-03-01,10.51,GS10,10-Year Treasury Constant Maturity Rate
1983-04-01,10.4,GS10,10-Year Treasury Constant Maturity Rate
1983-05-01,10.38,GS10,10-Year Treasury Constant Maturity Rate
1983-06-01,10.85,GS10,10-Year Treasury Constant Maturity Rate
1983-07-01,11.38,GS10,10-Year Treasury Constant Maturity Rate
1983-08-01,11.85,GS10,10-Year Treasury Constant Maturity Rate
1983-09-01,11.65,GS10,10-Year Treasury Constant Maturity Rate
1983-10-01,11.54,GS10,10-Year Treasury Constant Maturity Rate
1983-11-01,11.69,GS10,10-Year Treasury Constant Maturity Rate
1983-12-01,11.83,GS10,10-Year Treasury Constant Maturity Rate
1984-01-01,11.67,GS10,10-Year Treasury Constant Maturity Rate
1984-02-01,11.84,GS10,10-Year Treasury Constant Maturity Rate
1984-03-01,12.32,GS10,10-Year Treasury Constant Maturity Rate
1984-04-01,12.63,GS10,10-Year Treasury Constant Maturity Rate
1984-05-01,13.41,GS10,10-Year Treasury Constant Maturity Rate
1984-06-01,13.56,GS10,10-Year Treasury Constant Maturity Rate
1984-07-01,13.36,GS10,10-Year Treasury Constant Maturity Rate
1984-08-01,12.72,GS10,10-Year Treasury Constant Maturity Rate
1984-09-01,12.52,GS10,10-Year Treasury Constant Maturity Rate
1984-10-01,12.16,GS10,10-Year Treasury Constant Maturity Rate
